Timestamp,Trial,Total_Reward,Skill_Sequence,Outcome,Status_Code
2026-03-22 18:34:49,1,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:34:50,2,59.68,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:34:52,3,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:34:53,4,59.71,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:34:55,5,59.14,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:34:56,6,59.75,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:34:58,7,58.93,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:00,8,59.75,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:01,9,59.72,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:03,10,59.49,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:04,11,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:06,12,59.75,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:08,13,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:09,14,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:11,15,59.73,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:12,16,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:14,17,59.75,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:15,18,59.69,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:17,19,59.7,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:19,20,59.67,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:21,21,59.67,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:24,22,59.68,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:26,23,59.71,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:28,24,59.75,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:30,25,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:38,26,59.75,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:41,27,59.65,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:45,28,59.71,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:50,29,59.73,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:54,30,59.72,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:35:57,31,59.68,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:01,32,59.67,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:04,33,59.68,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:06,34,59.12,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:09,35,59.23,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:11,36,59.71,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:14,37,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:17,38,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:21,39,59.73,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:25,40,59.71,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:28,41,59.75,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:31,42,59.12,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:34,43,59.66,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:38,44,59.68,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:41,45,59.74,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:44,46,59.75,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:47,47,59.22,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:49,48,59.23,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:51,49,59.68,REACH -> GRASP -> LIFT,SUCCESS,1
2026-03-22 18:36:53,50,59.73,REACH -> GRASP -> LIFT,SUCCESS,1
